You will be playing a game for 30 rounds.
Each round contains 10 trials.
In each trial, you have to select one option that will generate a reward between 0 and 50 points.
You can choose between options 1, 2, 3, 4, 5, 6, 7 and 8 by pressing the corresponding key.
After each round the options reset and each option can produce different rewards in the following round.
Your goal is to maximize your reward.

You are playing round 1:
You press <<5>> and get 33.6691660977713 points.
You press <<6>> and get 24.4473259706888 points.
You press <<5>> and get 33.5676102335507 points.
You press <<5>> and get 33.3894168189745 points.
You press <<7>> and get 15.9248165538875 points.
You press <<5>> and get 33.3527132994689 points.
You press <<1>> and get 28.903413396743 points.
You press <<5>> and get 32.7958868619107 points.
You press <<5>> and get 33.9580333906665 points.
You press <<5>> and get 33.5946633864252 points.

You are playing round 2:
You press <<3>> and get 35.2752494464661 points.
You press <<4>> and get 29.3151257758575 points.
You press <<5>> and get 23.2669061593772 points.
You press <<8>> and get 4.53194666779427 points.
You press <<1>> and get 38.9833142401044 points.
You press <<1>> and get 38.7852429623084 points.
You press <<1>> and get 38.3552313264373 points.
You press <<2>> and get 42.0655957435458 points.
You press <<2>> and get 42.004886038982 points.
You press <<2>> and get 42.6300143122978 points.

You are playing round 3:
You press <<4>> and get 27.9684436721492 points.
You press <<5>> and get 36.1453261806381 points.
You press <<5>> and get 36.4924562626222 points.
You press <<5>> and get 36.7338053403534 points.
You press <<5>> and get 35.633064763369 points.
You press <<5>> and get 36.2481983914007 points.
You press <<5>> and get 36.6312512007661 points.
You press <<5>> and get 36.8025174113884 points.
You press <<5>> and get 36.0938280167147 points.
You press <<5>> and get 36.198034211476 points.

You are playing round 4:
You press <<1>> and get 37.0172984155391 points.
You press <<2>> and get 40.7946741408979 points.
You press <<2>> and get 41.1628355802775 points.
You press <<2>> and get 40.5367941035671 points.
You press <<2>> and get 40.9612957937495 points.
You press <<2>> and get 40.2994250320354 points.
You press <<2>> and get 40.5542855228388 points.
You press <<2>> and get 41.0646360501378 points.
You press <<2>> and get 41.0002591372811 points.
You press <<2>> and get 41.0648033283064 points.

You are playing round 5:
You press <<8>> and get 2.60532191776132 points.
You press <<2>> and get 42.8974999637273 points.
You press <<2>> and get 42.4475645225207 points.
You press <<2>> and get 42.6786036779067 points.
You press <<2>> and get 42.4181954049238 points.
You press <<2>> and get 42.9576123591542 points.
You press <<2>> and get 41.9077235473851 points.
You press <<2>> and get 42.798386931451 points.
You press <<2>> and get 42.44381279734 points.
You press <<2>> and get 42.8830254975339 points.

You are playing round 6:
You press <<1>> and get 38.8925143565598 points.
You press <<2>> and get 42.4734587010255 points.
You press <<3>> and get 35.5808709035868 points.
You press <<2>> and get 42.4324148051961 points.
You press <<2>> and get 42.2831212682903 points.
You press <<2>> and get 42.4944803834004 points.
You press <<2>> and get 42.5884946196801 points.
You press <<2>> and get 43.492587784742 points.
You press <<2>> and get 41.9964719161146 points.
You press <<2>> and get 42.2461421640892 points.

You are playing round 7:
You press <<2>> and get 41.7559306029592 points.
You press <<3>> and get 42.01731026655 points.
You press <<4>> and get 47.1670357826106 points.
You press <<4>> and get 48.0557136571403 points.
You press <<4>> and get 47.3048941648687 points.
You press <<4>> and get 47.4567801175043 points.
You press <<4>> and get 47.87835747104 points.
You press <<4>> and get 47.3023313542748 points.
You press <<4>> and get 47.7492672708446 points.
You press <<4>> and get 48.1416688824036 points.

You are playing round 8:
You press <<4>> and get 25.8372389339544 points.
You press <<5>> and get 33.6710656178275 points.
You press <<6>> and get 41.6299577246359 points.
You press <<6>> and get 41.2515893106856 points.
You press <<6>> and get 41.4099208904142 points.
You press <<6>> and get 41.0697259990437 points.
You press <<2>> and get 10.1073639140806 points.
You press <<6>> and get 41.6607880363702 points.
You press <<7>> and get 37.7706361558012 points.
You press <<6>> and get 41.7104025084282 points.

You are playing round 9:
You press <<6>> and get 38.6462903406487 points.
You press <<5>> and get 31.819018616426 points.
You press <<7>> and get 46.5894848034214 points.
You press <<7>> and get 46.1220477281996 points.
You press <<7>> and get 45.756835962206 points.
You press <<7>> and get 45.9286897464636 points.
You press <<7>> and get 46.4924427390626 points.
You press <<7>> and get 46.3532095217538 points.
You press <<7>> and get 46.3085911056592 points.
You press <<7>> and get 46.0397771373413 points.

You are playing round 10:
You press <<7>> and get 14.3009333279519 points.
You press <<2>> and get 39.1430576265297 points.
You press <<3>> and get 42.287169063005 points.
You press <<4>> and get 35.3521609977685 points.
You press <<3>> and get 41.980869746856 points.
You press <<3>> and get 42.1083923205514 points.
You press <<3>> and get 42.8175543801201 points.
You press <<3>> and get 42.5590167121792 points.
You press <<3>> and get 43.116161147808 points.
You press <<3>> and get 42.5854200747095 points.

You are playing round 11:
You press <<1>> and get 3.03935361983205 points.
You press <<5>> and get 45.005848217161 points.
You press <<5>> and get 44.8908133607827 points.
You press <<6>> and get 39.9452500452497 points.
You press <<4>> and get 34.126625195242 points.
You press <<5>> and get 45.0765932401207 points.
You press <<5>> and get 44.5096108949212 points.
You press <<5>> and get 44.7383773567608 points.
You press <<5>> and get 43.9655265656313 points.
You press <<5>> and get 43.9731090881617 points.

You are playing round 12:
You press <<5>> and get 33.4180235603848 points.
You press <<6>> and get 38.6718200958628 points.
You press <<7>> and get 44.8502479145464 points.
You press <<7>> and get 44.6238354719458 points.
You press <<7>> and get 44.9170400081647 points.
You press <<7>> and get 44.7879938245854 points.
You press <<7>> and get 44.6724738829374 points.
You press <<7>> and get 44.615193675987 points.
You press <<7>> and get 44.4391289625855 points.
You press <<7>> and get 44.5599973986192 points.

You are playing round 13:
You press <<6>> and get 20.1997061052241 points.
You press <<3>> and get 35.5887377525162 points.
You press <<2>> and get 41.3938638397423 points.
You press <<1>> and get 38.1977008844856 points.
You press <<2>> and get 40.9470996325172 points.
You press <<2>> and get 41.3757403830074 points.
You press <<2>> and get 41.0629776699535 points.
You press <<2>> and get 41.2029176722854 points.
You press <<8>> and get 8.63752526736288 points.
You press <<2>> and get 40.8305283330942 points.

You are playing round 14:
You press <<2>> and get 12.7219405073818 points.
You press <<5>> and get 45.0509547638681 points.
You press <<6>> and get 39.276994710197 points.
You press <<5>> and get 45.4966895582466 points.
You press <<5>> and get 44.7580740995693 points.
You press <<5>> and get 44.4621028365171 points.
You press <<5>> and get 44.7796919381153 points.
You press <<5>> and get 44.9284350851402 points.
You press <<5>> and get 44.8171886266417 points.
You press <<5>> and get 44.9950766595202 points.

You are playing round 15:
You press <<5>> and get 27.2491885624385 points.
You press <<6>> and get 21.6266994254806 points.
You press <<2>> and get 38.4280322027838 points.
You press <<1>> and get 34.5570197559756 points.
You press <<2>> and get 38.1452380646374 points.
You press <<3>> and get 40.8535912079428 points.
You press <<3>> and get 41.2315146950135 points.
You press <<3>> and get 41.3349471145127 points.
You press <<3>> and get 41.5341399260548 points.
You press <<3>> and get 40.6153376488611 points.

You are playing round 16:
You press <<5>> and get 35.1921621585153 points.
You press <<6>> and get 41.7825999211575 points.
You press <<6>> and get 41.6156799019403 points.
You press <<7>> and get 37.813006637831 points.
You press <<6>> and get 41.6342539393087 points.
You press <<6>> and get 41.434409355758 points.
You press <<6>> and get 41.614115394332 points.
You press <<6>> and get 41.9464423504186 points.
You press <<6>> and get 41.7125722447552 points.
You press <<6>> and get 41.2279997550624 points.

You are playing round 17:
You press <<2>> and get 13.8153795686581 points.
You press <<5>> and get 30.7478019217521 points.
