You will be playing a game for 30 rounds.
Each round contains 10 trials.
In each trial, you have to select one option that will generate a reward between 0 and 50 points.
You can choose between options 1, 2, 3, 4, 5, 6, 7 and 8 by pressing the corresponding key.
After each round the options reset and each option can produce different rewards in the following round.
Your goal is to maximize your reward.

You are playing round 1:
You press <<4>> and get 40.4521582325 points.
You press <<6>> and get 5.7117807178 points.
You press <<4>> and get 40.7310941705 points.
You press <<3>> and get 31.2542292526 points.
You press <<4>> and get 41.2808082999 points.
You press <<8>> and get 26.4916566802 points.
You press <<4>> and get 41.2099452123 points.
You press <<7>> and get 36.0655793204 points.
You press <<4>> and get 40.7189163351 points.
You press <<2>> and get 16.0841728679 points.

You are playing round 2:
You press <<2>> and get 9.1843875964 points.
You press <<3>> and get 19.7364546062 points.
You press <<5>> and get 40.9826948929 points.
You press <<5>> and get 41.2638895325 points.
You press <<5>> and get 40.9815145846 points.
You press <<5>> and get 40.6151868099 points.
You press <<5>> and get 41.3995456788 points.
You press <<5>> and get 40.7780017238 points.
You press <<5>> and get 41.2861973204 points.
You press <<6>> and get 30.3609906409 points.

You are playing round 3:
You press <<6>> and get 13.8137659371 points.
You press <<7>> and get 29.6334442835 points.
You press <<8>> and get 44.6071211342 points.
You press <<8>> and get 44.6206509627 points.
You press <<8>> and get 44.4481841278 points.
You press <<8>> and get 44.382169617 points.
You press <<8>> and get 44.8843808787 points.
You press <<8>> and get 44.5654498869 points.
You press <<8>> and get 44.6791170877 points.
You press <<8>> and get 44.4745532166 points.

You are playing round 4:
You press <<2>> and get 26.202339498 points.
You press <<3>> and get 37.9426229594 points.
You press <<4>> and get 20.1571948785 points.
You press <<6>> and get 13.9866238093 points.
You press <<7>> and get 31.6072920154 points.
You press <<8>> and get 44.0788399132 points.
You press <<8>> and get 43.7423389837 points.
You press <<8>> and get 42.989501052 points.
You press <<8>> and get 44.0214405244 points.
You press <<8>> and get 43.8468602036 points.

You are playing round 5:
You press <<8>> and get 23.6132783427 points.
You press <<1>> and get 40.8705278353 points.
You press <<1>> and get 40.8196655596 points.
You press <<1>> and get 40.7564854978 points.
You press <<1>> and get 40.4492201749 points.
You press <<1>> and get 40.5964751436 points.
You press <<1>> and get 40.4418048121 points.
You press <<1>> and get 40.6736111234 points.
You press <<1>> and get 40.5387134638 points.
You press <<1>> and get 40.3350758298 points.

You are playing round 6:
You press <<2>> and get 38.0603235674 points.
You press <<8>> and get 2.4532547732 points.
You press <<3>> and get 19.9112493693 points.
You press <<6>> and get 8.3930998069 points.
You press <<5>> and get 26.1827161434 points.
You press <<7>> and get 31.5669404548 points.
You press <<2>> and get 37.8623372516 points.
You press <<2>> and get 37.8809976278 points.
You press <<2>> and get 38.0161554801 points.
You press <<2>> and get 37.7308579637 points.

You are playing round 7:
You press <<8>> and get 9.6219809624 points.
You press <<7>> and get 29.9947463646 points.
You press <<6>> and get 40.2455957294 points.
You press <<6>> and get 40.6991282292 points.
You press <<5>> and get 15.1271297248 points.
You press <<6>> and get 40.568940641 points.
You press <<6>> and get 40.2176042042 points.
You press <<6>> and get 40.5593727824 points.
You press <<6>> and get 40.5713671183 points.
You press <<6>> and get 40.464477311 points.

You are playing round 8:
You press <<2>> and get 13.8630830494 points.
You press <<3>> and get 38.8130375682 points.
You press <<4>> and get 28.25314302 points.
You press <<6>> and get 23.3071917887 points.
You press <<5>> and get 33.4124756516 points.
You press <<7>> and get 18.4163732411 points.
You press <<8>> and get 43.5958950557 points.
You press <<8>> and get 43.5428439879 points.
You press <<8>> and get 43.4583175499 points.
You press <<8>> and get 43.3608895176 points.

You are playing round 9:
You press <<8>> and get 43.6174659612 points.
You press <<8>> and get 43.3630357421 points.
You press <<8>> and get 43.8090657386 points.
You press <<8>> and get 43.9212947791 points.
You press <<8>> and get 43.8770504428 points.
You press <<8>> and get 43.8033086635 points.
You press <<8>> and get 43.7859104298 points.
You press <<8>> and get 42.9748361974 points.
You press <<8>> and get 43.710243866 points.
You press <<8>> and get 43.572309862 points.

You are playing round 10:
You press <<8>> and get 9.1799780487 points.
You press <<1>> and get 45.1580384912 points.
You press <<1>> and get 45.3696070248 points.
You press <<1>> and get 45.3800378308 points.
You press <<1>> and get 45.6420655789 points.
You press <<1>> and get 45.4875535076 points.
You press <<1>> and get 45.6466648003 points.
You press <<1>> and get 44.7273380337 points.
You press <<1>> and get 45.5044911641 points.
You press <<1>> and get 45.6909909861 points.

You are playing round 11:
You press <<8>> and get 5.3122171048 points.
You press <<1>> and get 40.1960827916 points.
You press <<1>> and get 40.5990345714 points.
You press <<1>> and get 40.9011307327 points.
You press <<1>> and get 40.676960375 points.
You press <<1>> and get 40.9977666875 points.
You press <<1>> and get 41.4490582878 points.
You press <<1>> and get 40.1563440109 points.
You press <<1>> and get 40.5042913696 points.
You press <<1>> and get 40.3453393329 points.

You are playing round 12:
You press <<8>> and get 9.3717108909 points.
You press <<1>> and get 47.0164659311 points.
You press <<1>> and get 46.4009413485 points.
You press <<1>> and get 46.5070121903 points.
You press <<1>> and get 46.4469688158 points.
You press <<1>> and get 47.0064082522 points.
You press <<1>> and get 46.3423212181 points.
You press <<1>> and get 47.0741046863 points.
You press <<1>> and get 47.1158620064 points.
You press <<1>> and get 46.5704772507 points.

You are playing round 13:
You press <<8>> and get 7.0823774344 points.
You press <<1>> and get 47.3570033536 points.
You press <<1>> and get 47.371842791 points.
You press <<1>> and get 47.9371727515 points.
You press <<1>> and get 47.672975547 points.
You press <<1>> and get 48.2908020187 points.
You press <<1>> and get 47.5515650607 points.
You press <<1>> and get 46.9184354679 points.
You press <<1>> and get 47.1184313918 points.
You press <<1>> and get 47.8627312959 points.

You are playing round 14:
You press <<1>> and get 2.384650005 points.
You press <<8>> and get 44.8128975068 points.
You press <<8>> and get 44.8954492232 points.
You press <<8>> and get 44.3153437096 points.
You press <<8>> and get 45.1183777114 points.
You press <<8>> and get 45.0908739707 points.
You press <<8>> and get 45.1278490399 points.
You press <<8>> and get 44.8571156845 points.
You press <<8>> and get 45.3106913899 points.
You press <<8>> and get 44.4712957027 points.

You are playing round 15:
You press <<8>> and get 7.1637109727 points.
You press <<1>> and get 42.9142262986 points.
You press <<1>> and get 42.7308192246 points.
You press <<1>> and get 42.8319437916 points.
You press <<1>> and get 42.9146284253 points.
You press <<1>> and get 42.7262936706 points.
You press <<1>> and get 42.9743213767 points.
You press <<1>> and get 42.4788053707 points.
You press <<1>> and get 43.0264487912 points.
You press <<1>> and get 43.4616496446 points.

You are playing round 16:
You press <<8>> and get 41.2144658643 points.
You press <<8>> and get 41.120680878 points.
You press <<8>> and get 41.2008123563 points.
You press <<8>> and get 41.2901105149 points.
You press <<8>> and get 40.3815606731 points.
You press <<8>> and get 40.7913226552 points.
You press <<8>> and get 40.4951265451 points.
You press <<8>> and get 41.1265966946 points.
You press <<8>> and get 41.2757461158 points.
You press <<8>> and get 41.1655464711 points.

You are playing round 17:
You press <<1>> and get 2.4566000916 points.
You press <<8>> and get 42.2406671766 points.
You press <<8>> and get 41.7120424449 points.
You press <<8>> and get 41.9480272995 points.
You press <<8>> and get 41.6766420204 points.
You press <<8>> and get 41.7928370014 points.
You press <<8>> and get 41.8028889368 points.
You press <<8>> and get 42.350284774 points.
You press <<8>> and get 41.5985902614 points.
You press <<8>> and get 41.8289347364 points.

